Models;ModelsNew
Alcatel POP 4S;Alcatel One Touch POP 4S (5095Y)
Alcatel POP Astro;Alcatel POP Astro
Alcatel POP Star 3G 5022D;Alcatel One Touch POP STAR (5022D)
Alcatel POP Star 4G 5070D;Alcatel One Touch POP STAR 4G (5070D/X)
Alcatel POP Up;Alcatel One Touch POP UP (6044D)
Alcatel POP2 4;Alcatel One Touch POP 2 (4) (4045D)
Alcatel POP2 4 Windows;Alcatel One Touch POP 2 (5042D)
Alcatel POP2 5;Alcatel One Touch POP 2 (7043K)
Alcatel POP2 5 Premium;Alcatel One Touch POP 2 Premium (5) (7044)
Alcatel POP3 5 3G;Alcatel One Touch POP 3 (5025D)
Alcatel POP3 5 4G;Alcatel One Touch POP 3 (5054D)
Alcatel POP3 5.5 3G;Alcatel One Touch POP 3 (5065D/5065X)
Alcatel PULSEMIX;Alcatel PULSEMIX
Alcatel QuickFlip;Alcatel QuickFlip
Alcatel Shine Lite 5080X;Alcatel Shine Lite (5080X)
Alcatel SmartFlip;Alcatel SmartFlip
Alcatel Streak;Alcatel Streak
Alcatel Tetra;Alcatel Tetra
Alcatel Tru;Alcatel Tru
Alcatel U3 3G 4049D;Alcatel One Touch U3 (4049D)
Alcatel U5 4G 5044[DY];Alcatel One Touch U5 (4047D/5044D)
Alcatel U5 HD 5047D;Alcatel One Touch U5 HD (5047D)
Alcatel U50;Alcatel U50
Alcatel Venture CDMA;Alcatel Venture CDMA
Alcatel Verso;Alcatel Verso
Alcatel X1;Alcatel One Touch X1 (7053D)
AllCall P10;AllCall P10
AllCall S10 Pro;AllCall S10 Pro
AllCall S10;AllCall S10
AllCall S5500;AllCall S5500
AllCall Mix 2;AllCall Mix 2
AllCall Rio X;AllCall Rio X
AllCall S1;AllCall S1
AllCall A1;AllCall A1
AllCall Alpha;AllCall Alpha
AllCall Atom;AllCall Atom
AllCall Bro;AllCall Bro
AllCall Madrid;AllCall Madrid
AllCall Rio;AllCall Rio
AllCall Rio S;AllCall Rio S
Apple iPhone 11;iPhone XI (6.1)
Apple iPhone 11 Pro;iPhone XI Pro (5.8)
Apple iPhone 11 Pro Max;iPhone XI Pro Max (6.5)
Apple iPhone XR;iPhone XR
Apple iPhone Xs Max;iPhone XS Max
Apple iPhone X;iPhone X(XS)
Apple iPhone 7;iPhone 7(8)
Apple iPhone 7 Plus;iPhone 7 Plus(8 Plus)
Apple iPhone SE (2016);iPhone 5(5S)(SE)
Apple iPhone 6S;iPhone 6(6S)
Apple iPhone 6 Plus;iPhone 6 Plus(6S Plus)
Apple iPhone 5C;iPhone 5C
Apple iPhone 4;iPhone 4(4S)
Apple iPhone 3G;iPhone 3(3G)(3GS)
Archos Access 50S;Archos Access 50S
Archos Core 62S;Archos Core 62S
Archos Diamond;Archos Diamond
Archos Oxygen 57;Archos Oxygen 57
Archos Oxygen 63;Archos Oxygen 63
Archos Oxygen 68 XL;Archos Oxygen 68 XL
Archos A50 Granite;Archos A50 Granite
Archos Access 57 4G;Archos Access 57 4G
Archos Core 55S;Archos Core 55S
Archos Core 55S Ultra;Archos Core 55S Ultra
Archos Core 57S;Archos Core 57S
Archos Core 60S;Archos Core 60S
Archos Junior Phone;Archos Junior Phone
Archos Saphir 50X;Archos Saphir 50X
Archos 40 Access 3G;Archos 40 Access 3G
Archos 40 Access 4G;Archos 40 Access 4G
Archos 45 Access 4G;Archos 45 Access 4G
Archos 50 Access 3G;Archos 50 Access 3G
Archos 50 Access 4G;Archos 50 Access 4G
Archos 50 Access Color 3G;Archos 50 Access Color 3G
Archos 50 Access Color 4G;Archos 50 Access Color 4G
Archos 50 Graphite;Archos 50 Graphite
Archos 50b Cobalt;Archos 50b Cobalt
Archos 50b Titanium 4G;Archos 50b Titanium 4G
Archos 50f Neon;Archos 50f Neon
Archos 55 Access 3G;Archos 55 Access 3G
Archos 55 Graphite;Archos 55 Graphite
Archos 55b Cobalt;Archos 55b Cobalt
Archos 60 Platinum;Archos 60 Platinum
Archos Core 50;Archos Core 50
Archos Core 50 Lite;Archos Core 50 Lite
Archos Core 50P;Archos Core 50P
Archos Core 55 4G;Archos Core 55 4G
Archos Core 55P;Archos Core 55P
Archos Diamond Alpha;Archos Diamond Alpha
Archos Diamond Alpha Plus;Archos Diamond Alpha Plus
Archos Diamond Gamma;Archos Diamond Gamma
Archos Diamond Omega;Archos Diamond Omega
Archos Sense 47X;Archos Sense 47X
Archos Sense 50DC;Archos Sense 50DC
Archos Sense 50X;Archos Sense 50X
Archos Sense 55DC;Archos Sense 55DC
Archos Sense 55S;Archos Sense 55S
Archos 40 Neon;Archos 40 Neon
Archos 40 Power;Archos 40 Power
Archos 45b Neon;Archos 45b Neon
Archos 45c Helium;Archos 45c Helium
Archos 45d Platinum;Archos 45d Platinum
Archos 50 Cobalt;Archos 50 Cobalt
Archos 50 Platinum 4G;Archos 50 Platinum 4G
Archos 50 Power;Archos 50 Power
Archos 50 Saphir;Archos 50 Saphir
Archos 50 Titanium 4G;Archos 50 Titanium 4G
Archos 50d Neon;Archos 50d Neon
Archos 50d Oxygen;Archos 50d Oxygen
Archos 50d Oxygen Plus;Archos 50d Oxygen Plus
Archos 50e Neon;Archos 50e Neon
Archos 50f Helium;Archos 50f Helium
Archos 50f Helium lite;Archos 50f Helium lite
Archos 55 Cobalt Plus;Archos 55 Cobalt Plus
Archos 55 Diamond Selfie;Archos 55 Diamond Selfie
Archos 55 Diamond Selfie Lite;Archos 55 Diamond Selfie Lite
Archos 55 Helium;Archos 55 Helium
Archos 55 Helium 4 Seasons;Archos 55 Helium 4 Seasons
Archos 55 Helium Ultra;Archos 55 Helium Ultra
Archos 55b Platinum;Archos 55b Platinum
Archos Diamond 2 Note;Archos Diamond 2 Note
Archos Diamond 2 Plus;Archos Diamond 2 Plus
Archos 35b Titanium;Archos 35b Titanium
Archos 40 Helium 4G;Archos 40 Helium 4G
Archos 40d Titanium;Archos 40d Titanium
Archos 45 Neon;Archos 45 Neon
Archos 50 Cesium;Archos 50 Cesium
Archos 50 Diamond;Archos 50 Diamond
Archos 50 Helium Plus;Archos 50 Helium Plus
Archos 50 Oxygen Plus;Archos 50 Oxygen Plus
Archos 50 Oxygen Plus 4G;Archos 50 Oxygen Plus 4G
Archos 50b Neon;Archos 50b Neon
Archos 50c Neon;Archos 50c Neon
Archos 50c Platinum;Archos 50c Platinum
Archos 50d Helium 4G;Archos 50d Helium 4G
Archos 50e Helium;Archos 50e Helium
Archos 52 Platinum;Archos 52 Platinum
Archos 55 Helium Plus;Archos 55 Helium Plus
Archos 55 Platinum;Archos 55 Platinum
Archos 59 Xenon;Archos 59 Xenon
Archos 62 Xenon;Archos 62 Xenon
Archos Diamond Plus;Archos Diamond Plus
Archos Diamond S;Archos Diamond S
Archos 40 Cesium;Archos 40 Cesium
Archos 40b Titanium;Archos 40b Titanium
Archos 40c Titanium;Archos 40c Titanium
Archos 45 Helium 4G;Archos 45 Helium 4G
Archos 45b Helium 4G;Archos 45b Helium 4G
Archos 45c Platinum;Archos 45c Platinum
Archos 50 Helium 4G;Archos 50 Helium 4G
Archos 50 Neon;Archos 50 Neon
Archos 50b Helium 4G;ARCHOS Heloum 50b 4G
Archos 50b Oxygen;Archos 50b Oxygen
Archos 50b Platinum;Archos 50b Platinum
Archos 50c Helium 4G;Archos 50c Helium 4G
Archos 50c Oxygen;Archos 50c Oxygen
Archos 59 Titanium;Archos 59 Titanium
Archos 64 Xenon;Archos 64 Xenon
Archos 35 Carbon;Archos 35 Carbon
Archos 40 Titanium;Archos 40 Titanium
Archos 45 Platinum;Archos 45 Platinum
Archos 45 Titanium;Archos 45 Titanium
Archos 50 Oxygen;Archos 50 Oxygen
Archos 50 Platinum;Archos 50 Platinum
Archos 50 Titanium;Archos 50 Titanium
Archos 53 Platinum;Archos 53 Platinum
Archos 53 Titanium;Archos 53 Titanium
Ark Benefit A1;Ark Benefit A1
Ark Benefit A2;Ark Benefit A2
Ark Benefit A3;Ark Benefit A3
Ark Benefit I1;Ark Benefit I1
Ark Benefit I2;Ark Benefit I2
Ark Benefit I3;Ark Benefit I3
Ark Benefit M1 3G;Ark Benefit M1 3G
Ark Benefit M1S;Ark Benefit M1S
Ark Benefit M2;Ark Benefit M2
Ark Benefit M2C;Ark Benefit M2C
Ark Benefit M5;Ark Benefit M5/M5 plus
Ark Benefit M501;Ark Benefit M501
Ark Benefit M502;Ark Benefit M502
Ark Benefit M503;Ark Benefit M503
Ark Benefit M505;Ark Benefit M505
Ark Benefit M506;Ark Benefit M506
Ark Benefit M551 (SuperD);Ark Benefit M551 (SuperD)
Ark Benefit M6;Ark Benefit M6
Ark Benefit M8;Ark Benefit M8
Ark Benefit M9;Ark Benefit M9
Ark Benefit Note1;Ark Benefit Note1
Ark Benefit S401;Ark Benefit S401
Ark Benefit S402;Ark Benefit S402
Ark Benefit S403;Ark Benefit S403
Ark Benefit S404;Ark Benefit S404
Ark Benefit S451;Ark Benefit S451
Ark Benefit S452;Ark Benefit S452
Ark Benefit S453;Ark Benefit S453
Ark Benefit S501;Ark Benefit S501
Ark Benefit S502 Plus;Ark Benefit S502 Plus
Ark Benefit S503 (New);Ark Benefit S503 (New)
Ark Benefit S503 2016;Ark Benefit S503 2016
Ark Benefit S503 Max;Ark Benefit S503 Max
Ark Benefit S504;Ark Benefit S504
Ark Benefit S505;Ark Benefit S505
Ark Benefit U1;Ark Benefit U1
Ark Benefit U1 Dual;Ark Benefit U1 Dual
Ark Benefit U141;Ark Benefit U141
Ark Benefit U181;Ark Benefit U181
Ark Benefit U182;Ark Benefit U182
Ark Benefit U2;Ark Benefit U2
Ark Benefit U2 Dual;Ark Benefit U2 Dual
Ark Benefit U241;Ark Benefit U241
Ark Benefit U242;Ark Benefit U242
Ark Benefit U243;Ark Benefit U243
Ark Benefit U244 (3D Звук);Ark Benefit U244 (3D Звук)
Ark Benefit U281;Ark Benefit U281
Ark Benefit U3;Ark Benefit U3
Ark Benefit U4;Ark Benefit U4
Ark Benefit S502;Ark Benefit S502
Ark Benefit V1;Ark Benefit V1
Ark Benefit V2;Ark Benefit V2
Ark Benefit V3;Ark Benefit V3
Ark Benefit V4;Ark Benefit V4
Ark Elf E1;Ark Elf E1
Ark Elf S8;Ark Elf S8
Ark Hercls A15;Ark Hercls A15
Ark Hercls L925;Ark Hercls L925
Ark Hongpai V1;Ark Hongpai V1
Ark Impulse P1 LTE;Ark Impulse P1 lite
Ark Benefit M4;Ark Benefit M4
Ark Impulse P1 Plus LTE;Ark Impulse P1 Plus
Ark Impulse P2 LTE;Ark Impulse P2
Ark Phantom 1;Ark Phantom 1
Ark Benefit M7;Ark Benefit M7
Ark Power 4;Ark Power 4
Ark Power F1;Ark Power F1
Ark Power F2;Ark Power F2
Ark Power F3;Ark Power F3
Ark Ukozi U5;Ark Ukozi U5
Ark Ukozi U6;Ark Ukozi U6
Ark Benefit M1;Ark Benefit M1
Ark Ukozi Uone;Ark Ukozi Uone
Ark Wizard 1;Ark Wizard 1
Ark Benefit M3S;Ark Benefit M3S
Ark Wizard 2;Ark Wizard 2
Artel Air;Artel Air
Artel Quadro;Artel Quadro
Artel Quadro Pro;Artel Quadro Pro
Artel Tesla;Artel Tesla
Artel Premium;Artel Premium
Artel Tomchi;Artel Tomchi
Artel U1 Mini;Artel U1 Mini
Assistant 101-AS Light;Assistant 101-AS Light
Assistant AS-203;Assistant AS-203
Assistant AS-204;Assistant AS-204
Assistant AS-401L Asper;Assistant AS-401L Asper
Assistant AS-601L NFC (AS-601L Pro);Assistant AS-601L NFC (AS-601L Pro)
Assistant AS-101;Assistant AS-101
Assistant AS-201;Assistant AS-201
Assistant AS-202 Classic;Assistant AS-202 Classic
Assistant AS-501 Club;Assistant AS-501 Club
Assistant AS-502 Shot;Assistant AS-502 Shot
Assistant AS-503 Target;Assistant AS-503 Target
Assistant AS-5411 max Ritm;Assistant AS-5411 max Ritm
Assistant AS-5412 max;Assistant AS-5412 max
Assistant AS-5421;Assistant AS-5421
Assistant AS-5433 Max;Assistant AS-5433 Max
Assistant AS-5434 Club;Assistant AS-5434 Club
Assistant AS-5435;Assistant AS-5435
Assistant AS-5436 GRID;Assistant AS-5436 GRID
Assistant AS-4211 Classic;Assistant AS-4211 Classic
Assistant AS-4411 Unami;Assistant AS-4411 Unami
Assistant AS-4421 Unami;Assistant AS-4421 Unami
Assistant AS-5411 Ritm;Assistant AS-5411 Ritm
Assistant AS-5412 Puls;Assistant AS-5412 Puls
Assistant AS-5431 Prima;Assistant AS-5431 Prima
Assistant AS-5432 Agio;Assistant AS-5432 Agio
Assistant AS-5433 Secret;Assistant AS-5433 Secret
Assistant AS-6431 Rider;Assistant AS-6431 Rider
ASUS 6z;ASUS 6z
Asus FonePad Note 6;Asus FonePad Note 6
ASUS J101;ASUS J101
ASUS J102;ASUS J102
ASUS J208;ASUS J208
ASUS Lamborghini ZX1;ASUS Lamborghini ZX1
ASUS ZenFone 6 (ZS630KL);ASUS ZenFone 6 (ZS630KL)
ASUS M530w;ASUS M530w
ASUS M930;ASUS M930
ASUS P320;ASUS P320
ASUS P505;ASUS P505
ASUS P525;ASUS P525
ASUS P526 (Pegasus);ASUS P526 (Pegasus)
ASUS P527;ASUS P527
ASUS P535;ASUS P535
ASUS ZenFone 5Z (ZS620KL);ASUS ZenFone 5Z (ZS620KL)
ASUS P550;ASUS P550
ASUS P552w;ASUS P552w
ASUS P565;ASUS P565
ASUS P735;ASUS P735
ASUS P750;ASUS P750
ASUS P835;ASUS P835
Asus Padfone;Asus Padfone
Asus PadFone 2;Asus PadFone 2
ASUS PadFone E (A68M);ASUS PadFone E (A68M)
Asus PadFone Infinity;Asus PadFone Infinity
ASUS ZenFone 3 Zoom (ZE553KL);ASUS ZenFone 3 Zoom (ZE553KL)
ASUS ZenFone 3S Max (ZC521TL);ASUS ZenFone 3S Max (ZC521TL)
ASUS ZenFone 4 (ZE554KL);ASUS ZenFone 4 (ZE554KL)
ASUS ZenFone 4 Max (ZC520KL);ASUS ZenFone 4 Max (ZC520KL)
Asus PadFone Infinity 2;Asus PadFone Infinity 2
ASUS ZenFone 4 Max (ZC554KL);ASUS ZenFone 4 Max (ZC554KL)
Asus PadFone Infinity Lite;Asus PadFone Infinity Lite
Asus PadFone Mini;Asus PadFone Mini
ASUS ZenFone 4 Pro (ZS551KL);ASUS ZenFone 4 Pro (ZS551KL)
Asus PadFone Mini 4.3 (A11);Asus PadFone Mini 4.3 (A11)
Asus PadFone mini 4.5 (PF451CL);Asus PadFone mini 4.5 (PF451CL)
ASUS ZenFone 4 Selfie (ZD553KL);ASUS ZenFone 4 Selfie (ZD553KL)
ASUS ZenFone 4 Selfie Pro (ZD552KL);ASUS ZenFone 4 Selfie Pro (ZD552KL)
Asus PadFone S;ASUS PadFone S/X (PF500KL)
ASUS ZenFone AR (ZS571KL);ASUS ZenFone AR (ZS571KL)
ASUS ZenFone Live (ZB501KL);ASUS ZenFone Live (ZB501KL)
Asus PadFone X mini;Asus PadFone X mini
ASUS Pegas X002;ASUS Pegas X002
ASUS Pegasus 2 Plus X550;ASUS Pegasus 2 Plus X550
ASUS Pegasus 5000;ASUS Pegasus 5000
ASUS ROG Phone (ZS600KL);ASUS ROG Phone (ZS600KL)
ASUS ROG Phone 2;ASUS ROG Phone 2
ASUS ROG Phone 3;ASUS ROG Phone 3
ASUS ZenFone 3 (ZE552KL);ASUS ZenFone 3 (ZE552KL)
ASUS ZenFone 3 Deluxe (ZS550KL);ASUS ZenFone 3 Deluxe (ZS550KL)
ASUS ZenFone 3 Deluxe (ZS570KL);ASUS ZenFone 3 Deluxe (ZS570KL)
ASUS ZenFone 3 Max (ZC553KL);ASUS ZenFone 3 Max (ZC553KL)
ASUS ZenFone 3 Ultra (ZU680KL);ASUS ZenFone 3 Ultra (ZU680KL)
ASUS ROG Phone 3 Strix Edition;ASUS ROG Phone 3 Strix Edition
ASUS ZenFone 2 (ZE500CL);ASUS ZenFone 2 (Zenfone 2E) (ZE500CL)
ASUS ZenFone Go (ZB500KG);ASUS ZenFone Go (ZB500KG)
ASUS ZenFone Go (ZB500KL);ASUS ZenFone Go (ZB500KL)
ASUS ZenFone 2 (ZE550ML);ASUS ZenFone 2 (ZE550ML/ZE551ML)
ASUS ZenFone 2 (ZE551ML);ASUS ZenFone 2 (ZE551ML)
ASUS Zenfone 2 Laser (ZE500KG);ASUS ZenFone 2 Laser (ZE500KL/ZE500KG)
ASUS ZenFone 2 Laser (ZE551KL);ASUS ZenFone 2 Laser (ZE551KL)
ASUS ZenFone Live (G500TG);ASUS ZenFone Live (G500TG)
ASUS ZenFone 2 Laser (ZE600KL);ASUS ZenFone 2 Laser (ZE600KL)
ASUS Zenfone 3 Laser (ZC551KL);ASUS Zenfone 3 Laser (ZC551KL)
ASUS Zenfone 3 Max (ZC520TL);ASUS Zenfone 3 Max (ZC520TL)
ASUS ZenFone 2E;ASUS ZenFone 2E
ASUS ZenFone 3 (ZE520KL);ASUS ZenFone 3 ZE520KL
ASUS ZenFone 4 A400CG;ASUS ZenFone 4 (A400CG)
ASUS ZenFone 4 Max (ZC550TL, X015D);ASUS ZenFone 4 Max (ZC550TL, X015D)
ASUS ZenFone 4 Max HD (ZB500TL, X00KD);ASUS ZenFone 4 Max HD (ZB500TL, X00KD)
ASUS ZenFone 2 Laser (ZE601KL);ASUS ZenFone 2 Laser (ZE601KL)
ASUS ZenFone 4 Max Pro (ZC554KL);ASUS ZenFone 4 Max Pro (ZC554KL)
ASUS ZenFone Go (ZC451TG);ASUS ZenFone Go (ZC451TG)
ASUS ZenFone Go (ZC500TG);ASUS ZenFone Go (ZC500TG)
ASUS ZenFone Max (ZC550KL);ASUS ZenFone Max (ZC550KL)
ASUS ZenFone 4 Pro (ZS551KL) SE;ASUS ZenFone 4 Pro (ZS551KL) SE
ASUS ZenFone 4 Selfie (ZB553KL);ASUS ZenFone 4 Selfie (ZB553KL)
ASUS ZenFone 5 (ZE620KL);Asus Zenfone 5 NEW (ZE620KL)
ASUS ZenFone 5 A501CG;ASUS ZenFone 5 (A501CG/A500KL)
ASUS Zenfone 2 Laser (ZE550KL);ASUS Zenfone 2 Laser (ZE550KL)
ASUS Zenfone C (ZC451CG);ASUS Zenfone C (ZC451CG)
Asus PadFone S Plus;Asus PadFone S Plus
ASUS ZenFone 5 Lite A502CG;ASUS ZenFone 5 Lite (A502CG)
ASUS ZenFone 5 Lite5Q (ZC600KL);Asus Zenfone 5 Lite NEW (ZC600KL)
ASUS ZenFone 6 A600CGA601CG;ASUS ZenFone 6 (A600CG)
ASUS ZenFone 6 Edition 30;ASUS ZenFone 6 Edition 30
Asus Zenfone 7;Asus Zenfone 7
Asus Zenfone 7 Pro;Asus Zenfone 7 Pro
ASUS ZenFone AR (V570KL);ASUS ZenFone AR (V570KL)
ASUS ZenFone Ares (ZS572KL);ASUS ZenFone Ares (ZS572KL)
ASUS ZenFone Go (ZB450KL);ASUS ZenFone Go (ZB450KL)
ASUS ZenFone Go (ZB452KG);ASUS ZenFone Go (ZB452KG/ZB450KL)
ASUS ZenFone Go (ZB552KL);ASUS ZenFone Go (ZB551KL/ZB552KL)
ASUS ZenFone Go 5.0 LTE (T500);ASUS ZenFone Go 5.0 LTE (T500)
ASUS ZenFone Go 6.9 (ZB690KG);ASUS ZenFone Go (ZB690KG)
ASUS Zenfone Lite L1 (G553KL);ASUS Zenfone Lite L1 (G553KL)
ASUS Zenfone Lite L1 (ZA551KL);Asus ZenFone Lite (L1) (ZA551KL)
ASUS ZenFone Live (ZB553KL);ASUS ZenFone 4 Live (ZB553KL)
ASUS Zenfone Live L1 (G552KL) Go Edition;ASUS Zenfone Live L1 (G552KL) Go Edition
ASUS Zenfone Live L1 (ZA550KL);Asus ZenFone Live (L1) (ZA550KL)
ASUS ZenFone Live L2 (ZA550KL);ASUS ZenFone Live L2 (ZA550KL)
ASUS ZenFone Max M1 (ZB555KL);ASUS Zenfone Max (M1) (ZB555KL)
ASUS ZenFone Max M1 (ZB556KL);ASUS ZenFone Max M1 (ZB556KL)
ASUS ZenFone Max M2 (ZB633KL, ZB632KL);ASUS ZenFone Max M2 ZB633KL/ZB632KL
ASUS ZenFone Max Plus M1 (ZB570TL);ASUS ZenFone Max Plus (M1) (ZB570TL)
ASUS Zenfone Max Plus M2 (ZB634KL);ASUS Zenfone Max Plus M2 (ZB634KL)
ASUS ZenFone Max Pro M1 (ZB601KL, ZB602KL);Asus Zenfone Max Pro M1 ZB601KL/ZB602KL
ASUS ZenFone Max Pro M2 (ZB630KL);Asus ZenFone Max Pro M2 ZB631KL
ASUS ZenFone Max Pro M2 (ZB631KL);ASUS ZenFone Max Pro M2 (ZB631KL)
ASUS ZenFone Max Shot (ZB634KL);ASUS ZenFone Max Shot (ZB634KL)
ASUS ZenFone Pegasus 3;ASUS ZenFone Pegasus 3
ASUS Zenfone Pegasus 3S;ASUS Zenfone Pegasus 3S
ASUS ZenFone Pegasus 4S;ASUS ZenFone Pegasus 4S
ASUS ZenFone Selfie (ZD551KL);ASUS ZenFone Selfie(ZD551KL)
ASUS ZenFone V (V520KL);ASUS ZenFone V (V520KL)
ASUS ZenFone V Live (V500KL);ASUS ZenFone V Live (V500KL)
ASUS ZenFone Zoom (ZX551ML);ASUS ZenFone ZOOM
Atomic G2001;Atomic G2001
Atomic T2401;Atomic T2401
babyPhone BPH;babyPhone BPH
BenQ F55;BenQ F55
BenQ T25;BenQ T25
BenQ T55;BenQ T55
BenQ B50;BenQ B50
BenQ B505;BenQ B505
BenQ B506;BenQ B506
BenQ F52;BenQ F52
BenQ T47;BenQ T47
BenQ F5;BenQ F5
BenQ T3;BenQ T3
BenQ A3;BenQ A3
BenQ F3;BenQ F3
BenQ T60;BenQ T60
BenQ A500;BenQ A500
BenQ Z2 (Cube);BenQ Z2 (Cube)
BenQ M100;BenQ M100
BenQ M300;BenQ M300
BenQ P50;BenQ P50
BenQ S660;BenQ S660
BenQ S670C;BenQ S670C
BenQ S700;BenQ S700
BenQ 760G;BenQ 760G
BenQ 830C;BenQ 830C
BenQ M560G;BenQ M560G
BenQ S630i;BenQ S630i
BenQ S620i;BenQ S620i
Billion Capture Plus;Billion Capture Plus
Black Fox B4 NFC BMM543S;Black Fox B4 NFC BMM543S
Black Fox B4 mini BMM531B;Black Fox B4 mini BMM531B
Black Fox B4 mini NFC BMM541B;Black Fox B4 mini NFC BMM541B
Black Fox B6 BMM531D;Black Fox B6 BMM531D
Black Fox B6Fox BMM441D;Black Fox B6Fox BMM441D
Black Fox B7 BMM442D;Black Fox B7 BMM442D
Black Fox B7Fox+ BMM443D;Black Fox B7Fox+ BMM443D
Black Fox B7rFox BMM541W;Black Fox B7rFox BMM541W
Black Fox B8Fox BMM441S;Black Fox B8Fox BMM441S
Black Fox B8m BMM441W;Black Fox B8m BMM441W
Black Fox B8mFox BMM442S;Black Fox B8mFox BMM442S
Black Fox B4 BMM543D;Black Fox B4 BMM543D
Black Fox B5 BMM531A;Black Fox B5 BMM531A
Black Fox B5Fox+ BMM541A;Black Fox B5Fox+ BMM541A
Black Fox B3;Black Fox B3
Black Fox B3Fox;Black Fox B3Fox
Black Fox B3Fox+;Black Fox B3Fox+
Black Fox BMM 431;Black Fox BMM 431
Black Fox BMM 532;Black Fox BMM 532
Black Fox BMM 541;Black Fox BMM 541
Black Fox BMM 542;Black Fox BMM 542
BlackBerry Evolve;BlackBerry Evolve
BlackBerry Evolve X;BlackBerry Evolve X
BlackBerry KEY2;BlackBerry KEY2
BlackBerry KEY2 LE;BlackBerry KEY2 LE
BlackBerry Aurora;BlackBerry Aurora
BlackBerry KEYone (DTEK70, Mercury);BlackBerry KEYone (DTEK70, Mercury)
BlackBerry Motion;BlackBerry Motion
Blackberry DTEK50;Blackberry DTEK50
Blackberry DTEK60;Blackberry DTEK60
BlackBerry Leap;Leap
BlackBerry Priv;BlackBerry Priv
BlackBerry Classic (Q20);BlackBerry Classic (Q20)
BlackBerry Passport;Passport
BlackBerry Porsche Design P9983;BlackBerry Porsche Design P9983
BlackBerry Z3;BlackBerry Z3
BlackBerry 9720;BlackBerry 9720
BlackBerry Curve 9315;BlackBerry Curve 9315
BlackBerry Porsche Design P9982;BlackBerry Porsche Design P9982
BlackBerry Q10;BlackBerry Q10
BlackBerry Q5;BlackBerry Q5
BlackBerry Z10;BlackBerry Z10 STL100-2
BlackBerry Z30;BlackBerry Z30
BlackBerry 9620;BlackBerry 9620
BlackBerry Curve 9220;BlackBerry Curve 9220
BlackBerry Curve 9310 CDMA;BlackBerry Curve 9310 CDMA
BlackBerry Curve 9320;BlackBerry Curve 9320
BlackBerry Bold 9790;BlackBerry Bold 9790
BlackBerry Bold 9900;BlackBerry Bold 9900
BlackBerry Bold 9930 CDMA;BlackBerry Bold 9930 CDMA
BlackBerry Curve 9350 CDMA;BlackBerry Curve 9350 CDMA
BlackBerry Curve 9360;BlackBerry Curve 9360
BlackBerry Curve 9370;BlackBerry Curve 9370
BlackBerry Curve 9380;BlackBerry Curve 9380
BlackBerry Porsche Design P9981;BlackBerry Porsche Design P9981
BlackBerry Torch 9810;BlackBerry Torch 9810
BlackBerry Torch 9850;BlackBerry Torch 9850
BlackBerry Torch 9860;BlackBerry Torch 9860
BlackBerry Bold 9650;BlackBerry Bold 9650
BlackBerry Bold 9780;BlackBerry Bold 9780
BlackBerry Curve 3G 9300;BlackBerry Curve 3G 9300
BlackBerry Curve 3G 9330 CDMA;BlackBerry Curve 3G 9330 CDMA
BlackBerry Pearl 3G 9100;BlackBerry Pearl 3G 9100
BlackBerry Pearl 3G 9105;BlackBerry Pearl 3G 9105
BlackBerry Style 9670 CDMA;BlackBerry Style 9670 CDMA
BlackBerry Torch 9800;BlackBerry Torch 9800
BlackBerry Bold 9700;BlackBerry Bold 9700
BlackBerry Curve 8520;BlackBerry Curve 8520
BlackBerry Storm2 9520;BlackBerry Storm2 9520
BlackBerry Storm2 9550;BlackBerry Storm2 9550
BlackBerry Tour 9630;BlackBerry Tour 9630
BlackBerry Bold 9000;BlackBerry Bold 9000
BlackBerry Curve 8900;BlackBerry Curve 8900
BlackBerry Pearl 8110;BlackBerry Pearl 8110
BlackBerry Pearl Flip 8220;BlackBerry Pearl Flip 8220
BlackBerry Storm 9500;BlackBerry Storm 9500
BlackBerry Storm 9530;BlackBerry Storm 9530
BlackBerry 8800;BlackBerry 8800
BlackBerry 8820;BlackBerry 8820
BlackBerry Curve 8300;BlackBerry Curve 8300
BlackBerry Curve 8310;BlackBerry Curve 8310
BlackBerry Curve 8320;BlackBerry Curve 8320
BlackBerry Pearl 8120;BlackBerry Pearl 8120
BlackBerry Pearl 8130 CDMA;BlackBerry Pearl 8130 CDMA
BlackBerry 8700g;BlackBerry 8700g
BlackBerry Pearl 8100;BlackBerry Pearl 8100
Blackview A80;Blackview A80
Blackview BV4900;Blackview BV4900
Blackview BV5500 Plus;Blackview BV5500 Plus
Blackview BV6300 Pro;Blackview BV6300 Pro
Blackview BV6900;Blackview BV6900
Blackview BV9600E;Blackview BV9600E
Blackview BV9900 Pro;Blackview BV9900 Pro
Blackview BV9900E;Blackview BV9900E
Blackview A60;Blackview A60
Blackview A60 Pro;Blackview A60 Pro
Blackview A80 Pro;Blackview A80 Pro
Blackview BV5500;Blackview BV5500
Blackview BV5500 Pro;Blackview BV5500 Pro
Blackview BV5900;Blackview BV5900
Blackview BV6100;Blackview BV6100
Blackview BV9100;Blackview BV9100
Blackview BV9500 Plus;Blackview BV9500 Plus
Blackview BV9600;Blackview BV9600
Blackview BV9700 Pro;Blackview BV9700 Pro
Blackview BV9800;Blackview BV9800
Blackview BV9800 Pro;Blackview BV9800 Pro
Blackview BV9900;Blackview BV9900
Blackview Max 1;Blackview Max 1
